busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
51,18:05,18:06,18:08,平日,C,連接バス/学休日運休,,,,18:17,,18:22,,,18:26,,,,,,,18:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_051,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,true
52,18:15,18:16,18:18,平日,C,,,,,18:29,,18:33,18:34,,18:37,,,18:40,18:43,,18:45,18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_052,WEEKDAY,NONE,,,false
53,18:20,18:21,18:23,平日,C,連接バス,,,,18:32,,18:36,,,18:40,,,,,,,18:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_053,WEEKDAY,NONE,,,true
54,18:30,18:31,18:33,平日,C,連接バス/学休日運休,,,,18:41,,18:45,,,18:49,,,,,,,19:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_054,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,true
55,18:40,18:41,18:43,平日,C,,,,,18:51,,18:55,18:56,,18:59,,,19:02,19:05,,19:07,19:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_055,WEEKDAY,NONE,,,false
56,18:55,18:56,18:58,平日,C,,,,,19:06,,19:09,19:10,,19:13,,,19:16,19:19,,19:21,19:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_056,WEEKDAY,NONE,,,false
57,19:10,19:11,19:13,平日,C,,,,,19:21,,19:24,19:25,,19:28,,,19:31,19:34,,19:36,19:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_057,WEEKDAY,NONE,,,false
58,19:25,19:26,19:28,平日,C,,,,,19:36,,19:39,19:40,,19:43,,,19:46,19:49,,19:51,19:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_058,WEEKDAY,NONE,,,false
59,19:40,19:41,19:43,平日,C,,,,,19:51,,19:54,19:55,,19:58,,,20:01,20:04,,20:06,20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_059,WEEKDAY,NONE,,,false
60,20:00,20:01,20:03,平日,C,,,,,20:11,,20:14,20:15,,20:18,,,20:21,20:24,,20:26,20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_060,WEEKDAY,NONE,,,false
61,20:25,20:26,20:28,平日,C,,,,,20:36,,20:39,20:40,,20:43,,,20:46,20:49,,20:51,20:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_061,WEEKDAY,NONE,,,false
62,21:40,21:41,21:43,平日,C,,,,,21:50,,21:53,21:54,,21:57,,,22:00,22:02,,22:04,22:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_062,WEEKDAY,NONE,,,false
1,6:35,6:36,6:37,土曜日・日祝日,C,,,,,6:45,,6:48,6:49,,6:52,,,6:55,6:57,,6:59,7:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_001,WEEKEND_HOLIDAY,NONE,,,false
2,7:05,7:06,7:07,土曜日・日祝日,C,,,,,7:15,,7:18,7:19,,7:22,,,7:25,7:27,,7:29,7:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_002,WEEKEND_HOLIDAY,NONE,,,false
3,7:35,7:36,7:37,土曜日・日祝日,C,,,,,7:45,,7:48,7:49,,7:52,,,7:55,7:57,,7:59,8:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_003,WEEKEND_HOLIDAY,NONE,,,false
4,7:55,7:56,7:57,土曜日・日祝日,C,,,,,8:05,,8:08,8:09,,8:12,,,8:15,8:18,,8:20,8:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_004,WEEKEND_HOLIDAY,NONE,,,false
5,8:15,8:16,8:17,土曜日・日祝日,C,,,,,8:25,,8:28,8:29,,8:32,,,8:35,8:38,,8:40,8:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_005,WEEKEND_HOLIDAY,NONE,,,false
6,8:35,8:36,8:37,土曜日・日祝日,C,,,,,8:45,,8:48,8:49,,8:52,,,8:55,8:58,,9:00,9:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_006,WEEKEND_HOLIDAY,NONE,,,false
7,8:55,8:56,8:57,土曜日・日祝日,C,,,,,9:05,,9:08,9:09,,9:12,,,9:15,9:18,,9:20,9:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_007,WEEKEND_HOLIDAY,NONE,,,false
8,9:15,9:16,9:17,土曜日・日祝日,C,,,,,9:25,,9:28,9:29,,9:32,,,9:35,9:38,,9:40,9:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_008,WEEKEND_HOLIDAY,NONE,,,false
9,9:35,9:36,9:37,土曜日・日祝日,C,,,,,9:45,,9:48,9:49,,9:52,,,9:55,9:58,,10:00,10:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_009,WEEKEND_HOLIDAY,NONE,,,false
10,9:55,9:56,9:57,土曜日・日祝日,C,,,,,10:05,,10:08,10:09,,10:12,,,10:15,10:18,,10:20,10:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_010,WEEKEND_HOLIDAY,NONE,,,false
11,10:20,10:21,10:22,土曜日・日祝日,C,,,,,10:30,,10:33,10:34,,10:37,,,10:40,10:43,,10:45,10:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_011,WEEKEND_HOLIDAY,NONE,,,false
12,10:45,10:46,10:47,土曜日・日祝日,C,,,,,10:55,,10:58,10:59,,11:02,,,11:05,11:08,,11:10,11:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_012,WEEKEND_HOLIDAY,NONE,,,false
13,11:05,11:06,11:07,土曜日・日祝日,C,,,,,11:15,,11:18,11:19,,11:22,,,11:25,11:28,,11:30,11:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_013,WEEKEND_HOLIDAY,NONE,,,false
