busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
34,19:05,19:06,19:07,土曜日・日祝日,C,,,,,19:15,,19:18,19:19,,19:22,,,19:25,19:27,,19:29,19:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_034,WEEKEND_HOLIDAY,NONE,,,false
35,19:30,19:31,19:32,土曜日・日祝日,C,,,,,19:40,,19:43,19:44,,19:47,,,19:50,19:52,,19:54,19:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_035,WEEKEND_HOLIDAY,NONE,,,false
36,20:30,20:31,20:32,土曜日・日祝日,C,,,,,20:40,,20:43,20:44,,20:47,,,20:50,20:52,,20:54,20:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_036,WEEKEND_HOLIDAY,NONE,,,false
37,21:30,21:31,21:32,土曜日・日祝日,C,,,,,21:40,,21:43,21:43,,21:46,,,21:49,21:51,,21:53,21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_037,WEEKEND_HOLIDAY,NONE,,,false
3,6:46,6:47,6:49,平日,E16,,,,6:54,,,,,,,,,,7:18,,7:22,7:26,,,,7:00,,7:02,,,7:07,,,,,,7:13,,,,,7:30,7:32,,,,7:38,,,,7:46,weekday_e16_001,WEEKDAY,NONE,,,false
4,7:04,7:05,7:07,平日,E16,,,,7:12,,,,,,,,,,7:36,,7:41,7:45,,,,7:18,,7:20,,,7:25,,,,,,7:31,,,,,7:49,7:51,,,,7:57,,,,8:05,weekday_e16_002,WEEKDAY,NONE,,,false
5,7:19,7:20,7:22,平日,E16,,,,7:27,,,,,,,,,,7:51,,7:56,8:00,,,,7:33,,7:35,,,7:40,,,,,,7:46,,,,,8:05,8:07,,,,8:13,,,,8:23,weekday_e16_003,WEEKDAY,NONE,,,false
6,7:38,7:39,7:41,平日,E16,,,,7:46,,,,,,,,,,8:12,,8:17,8:21,,,,7:52,,7:56,,,8:01,,,,,,8:07,,,,,8:25,8:27,,,,8:33,,,,8:41,weekday_e16_004,WEEKDAY,NONE,,,false
7,8:18,8:19,8:21,平日,E16,,,,8:26,,,,,,,,,,8:52,,8:56,8:58,,,,8:32,,8:36,,,8:41,,,,,,8:47,,,,,9:02,9:04,,,,9:08,,,,9:16,weekday_e16_005,WEEKDAY,NONE,,,false
8,8:38,8:39,8:41,平日,E16,,,,8:46,,,,,,,,,,9:09,,9:13,9:15,,,,8:52,,8:54,,,8:59,,,,,,9:05,,,,,9:19,9:20,,,,9:24,,,,9:32,weekday_e16_006,WEEKDAY,NONE,,,false
9,8:58,8:59,9:01,平日,E16,,,,9:06,,,,,,,,,,9:29,,9:33,9:35,,,,9:12,,9:14,,,9:19,,,,,,9:25,,,,,9:39,9:40,,,,9:44,,,,9:52,weekday_e16_007,WEEKDAY,NONE,,,false
10,9:23,9:24,9:26,平日,E16,,,,9:31,,,,,,,,,,9:54,,9:58,10:00,,,,9:37,,9:39,,,9:44,,,,,,9:50,,,,,10:04,10:05,,,,10:09,,,,10:17,weekday_e16_008,WEEKDAY,NONE,,,false
11,9:53,9:54,9:56,平日,E16,,,,10:01,,,,,,,,,,10:24,,10:28,10:30,,,,10:07,,10:09,,,10:14,,,,,,10:20,,,,,10:34,10:35,,,,10:39,,,,10:47,weekday_e16_009,WEEKDAY,NONE,,,false
12,10:23,10:24,10:26,平日,N,,,,10:31,,,,,,,,,,10:54,,10:58,11:00,,,,10:37,,10:39,,,10:44,,,,,,10:50,,,,,,,,,,,,,,,weekday_n_001,WEEKDAY,NONE,,,false
13,10:54,10:55,10:57,平日,E16,,,,11:02,,,,,,,,,,11:25,,11:29,11:31,,,,11:08,,11:10,,,11:15,,,,,,11:21,,,,,11:35,11:36,,,,11:40,,,,11:48,weekday_e16_010,WEEKDAY,NONE,,,false
14,12:01,12:02,12:04,平日,E16,,,,12:09,,,,,,,,,,12:32,,12:36,12:38,,,,12:15,,12:17,,,12:22,,,,,,12:28,,,,,12:42,12:43,,,,12:48,,,,12:56,weekday_e16_011,WEEKDAY,NONE,,,false
15,12:38,12:39,12:41,平日,E16,,,,12:46,,,,,,,,,,13:09,,13:13,13:15,,,,12:52,,12:54,,,12:59,,,,,,13:05,,,,,13:19,13:20,,,,13:25,,,,13:33,weekday_e16_012,WEEKDAY,NONE,,,false
16,13:28,13:29,13:31,平日,E16,,,,13:36,,,,,,,,,,13:59,,14:03,14:05,,,,13:42,,13:44,,,13:49,,,,,,13:55,,,,,14:09,14:10,,,,14:15,,,,14:23,weekday_e16_013,WEEKDAY,NONE,,,false
17,14:13,14:14,14:16,平日,E16,,,,14:21,,,,,,,,,,14:44,,14:48,14:50,,,,14:27,,14:29,,,14:34,,,,,,14:40,,,,,14:54,14:55,,,,15:00,,,,15:08,weekday_e16_014,WEEKDAY,NONE,,,false
18,14:43,14:44,14:46,平日,E16,,,,14:51,,,,,,,,,,15:14,,15:18,15:20,,,,14:57,,14:59,,,15:04,,,,,,15:10,,,,,15:24,15:25,,,,15:30,,,,15:38,weekday_e16_015,WEEKDAY,NONE,,,false
19,15:08,15:09,15:11,平日,E16,,,,15:16,,,,,,,,,,15:39,,15:44,15:46,,,,15:22,,15:24,,,15:29,,,,,,15:35,,,,,15:50,15:51,,,,15:56,,,,16:04,weekday_e16_016,WEEKDAY,NONE,,,false
20,15:49,15:50,15:52,平日,E16,,,,15:57,,,,,,,,,,16:21,,16:26,16:28,,,,16:04,,16:06,,,16:11,,,,,,16:17,,,,,16:32,16:33,,,,16:38,,,,16:46,weekday_e16_017,WEEKDAY,NONE,,,false
21,16:08,16:09,16:11,平日,E16,,,,16:17,,,,,,,,,,16:41,,16:46,16:48,,,,16:24,,16:26,,,16:31,,,,,,16:37,,,,,16:52,16:53,,,,16:58,,,,17:06,weekday_e16_018,WEEKDAY,NONE,,,false
22,16:47,16:48,16:50,平日,E16,,,,16:57,,,,,,,,,,17:23,,17:28,17:32,,,,17:04,,17:08,,,17:13,,,,,,17:19,,,,,17:36,17:37,,,,17:43,,,,17:51,weekday_e16_019,WEEKDAY,NONE,,,false
23,17:22,17:23,17:25,平日,E16,,,,17:33,,,,,,,,,,17:59,,18:04,18:08,,,,17:40,,17:44,,,17:49,,,,,,17:55,,,,,18:12,18:13,,,,18:19,,,,18:27,weekday_e16_020,WEEKDAY,NONE,,,false
24,17:42,17:43,17:45,平日,E16,,,,17:53,,,,,,,,,,18:19,,18:24,18:28,,,,18:00,,18:04,,,18:09,,,,,,18:15,,,,,18:32,18:33,,,,18:38,,,,18:46,weekday_e16_021,WEEKDAY,NONE,,,false
25,18:23,18:24,18:26,平日,E16,,,,18:32,,,,,,,,,,18:55,,19:00,19:02,,,,18:38,,18:40,,,18:45,,,,,,18:51,,,,,19:06,19:07,,,,19:12,,,,19:20,weekday_e16_022,WEEKDAY,NONE,,,false
26,18:49,18:50,18:52,平日,E16,,,,18:57,,,,,,,,,,19:20,,19:24,19:26,,,,19:03,,19:05,,,19:10,,,,,,19:16,,,,,19:30,19:31,,,,19:36,,,,19:44,weekday_e16_023,WEEKDAY,NONE,,,false
28,19:38,19:39,19:41,平日,E16,,,,19:46,,,,,,,,,,20:08,,20:12,20:14,,,,19:51,,19:53,,,19:58,,,,,,20:04,,,,,20:18,20:18,,,,20:23,,,,20:31,weekday_e16_024,WEEKDAY,NONE,,,false
2,7:27,7:28,7:30,土曜日・日祝日,E16,,,,7:35,,,,,,,,,,7:58,,8:02,8:04,,,,7:41,,7:43,,,7:48,,,,,,7:54,,,,,8:08,8:09,,,,8:14,,,,8:21,weekend_holiday_e16_001,WEEKEND_HOLIDAY,NONE,,,false
3,8:02,8:03,8:05,土曜日・日祝日,E16,,,,8:10,,,,,,,,,,8:33,,8:37,8:39,,,,8:16,,8:18,,,8:23,,,,,,8:29,,,,,8:43,8:44,,,,8:49,,,,8:57,weekend_holiday_e16_002,WEEKEND_HOLIDAY,NONE,,,false
4,8:37,8:38,8:40,土曜日・日祝日,E16,,,,8:45,,,,,,,,,,9:08,,9:13,9:15,,,,8:51,,8:53,,,8:58,,,,,,9:04,,,,,9:19,9:20,,,,9:25,,,,9:33,weekend_holiday_e16_003,WEEKEND_HOLIDAY,NONE,,,false
5,9:17,9:18,9:20,土曜日・日祝日,E16,,,,9:25,,,,,,,,,,9:48,,9:53,9:55,,,,9:31,,9:33,,,9:38,,,,,,9:44,,,,,9:59,10:00,,,,10:05,,,,10:13,weekend_holiday_e16_004,WEEKEND_HOLIDAY,NONE,,,false
6,10:07,10:08,10:10,土曜日・日祝日,E16,,,,10:15,,,,,,,,,,10:38,,10:43,10:45,,,,10:21,,10:23,,,10:28,,,,,,10:34,,,,,10:49,10:50,,,,10:55,,,,11:03,weekend_holiday_e16_005,WEEKEND_HOLIDAY,NONE,,,false
7,10:57,10:58,11:00,土曜日・日祝日,E16,,,,11:05,,,,,,,,,,11:28,,11:33,11:35,,,,11:11,,11:13,,,11:18,,,,,,11:24,,,,,11:39,11:40,,,,11:45,,,,11:53,weekend_holiday_e16_006,WEEKEND_HOLIDAY,NONE,,,false
8,11:57,11:58,12:00,土曜日・日祝日,E16,,,,12:05,,,,,,,,,,12:28,,12:33,12:35,,,,12:11,,12:13,,,12:18,,,,,,12:24,,,,,12:39,12:40,,,,12:45,,,,12:53,weekend_holiday_e16_007,WEEKEND_HOLIDAY,NONE,,,false
9,12:57,12:58,13:00,土曜日・日祝日,E16,,,,13:05,,,,,,,,,,13:28,,13:33,13:35,,,,13:11,,13:13,,,13:18,,,,,,13:24,,,,,13:39,13:40,,,,13:45,,,,13:53,weekend_holiday_e16_008,WEEKEND_HOLIDAY,NONE,,,false
10,13:57,13:58,14:00,土曜日・日祝日,E16,,,,14:05,,,,,,,,,,14:28,,14:33,14:35,,,,14:11,,14:13,,,14:18,,,,,,14:24,,,,,14:39,14:40,,,,14:45,,,,14:53,weekend_holiday_e16_009,WEEKEND_HOLIDAY,NONE,,,false
11,14:47,14:48,14:50,土曜日・日祝日,E16,,,,14:55,,,,,,,,,,15:18,,15:23,15:25,,,,15:01,,15:03,,,15:08,,,,,,15:14,,,,,15:29,15:30,,,,15:35,,,,15:43,weekend_holiday_e16_010,WEEKEND_HOLIDAY,NONE,,,false
12,15:37,15:38,15:40,土曜日・日祝日,E16,,,,15:45,,,,,,,,,,16:08,,16:13,16:15,,,,15:51,,15:53,,,15:58,,,,,,16:04,,,,,16:19,16:20,,,,16:25,,,,16:33,weekend_holiday_e16_011,WEEKEND_HOLIDAY,NONE,,,false
13,16:27,16:28,16:30,土曜日・日祝日,E16,,,,16:35,,,,,,,,,,16:58,,17:03,17:05,,,,16:41,,16:43,,,16:48,,,,,,16:54,,,,,17:09,17:10,,,,17:15,,,,17:23,weekend_holiday_e16_012,WEEKEND_HOLIDAY,NONE,,,false
14,17:16,17:17,17:19,土曜日・日祝日,E16,,,,17:24,,,,,,,,,,17:47,,17:52,17:54,,,,17:30,,17:32,,,17:37,,,,,,17:43,,,,,17:58,17:59,,,,18:04,,,,18:12,weekend_holiday_e16_013,WEEKEND_HOLIDAY,NONE,,,false
15,18:07,18:08,18:10,土曜日・日祝日,E16,,,,18:15,,,,,,,,,,18:38,,18:43,18:45,,,,18:21,,18:23,,,18:28,,,,,,18:34,,,,,18:49,18:50,,,,18:55,,,,19:03,weekend_holiday_e16_014,WEEKEND_HOLIDAY,NONE,,,false
17,18:57,18:58,19:00,土曜日・日祝日,E16,,,,19:05,,,,,,,,,,19:27,,19:32,19:34,,,,19:10,,19:12,,,19:17,,,,,,19:23,,,,,19:38,19:39,,,,19:43,,,,19:51,weekend_holiday_e16_015,WEEKEND_HOLIDAY,NONE,,,false
